평균값 주소,원본 데이터 범위
A1804,$A$90:$A$119
A1805,$A$210:$A$239
A1806,$A$330:$A$359
A1807,$A$450:$A$479
A1808,$A$570:$A$599
A1809,$A$690:$A$719
A1810,$A$810:$A$839
A1811,$A$930:$A$959
A1812,$A$1050:$A$1079
A1813,$A$1170:$A$1199
A1814,$A$1290:$A$1319
A1815,$A$1410:$A$1439
A1816,$A$1530:$A$1559
A1817,$A$1650:$A$1679
A1818,$A$1770:$A$1799
B1804,$B$90:$B$119
B1805,$B$210:$B$239
B1806,$B$330:$B$359
B1807,$B$450:$B$479
B1808,$B$570:$B$599
B1809,$B$690:$B$719
B1810,$B$810:$B$839
B1811,$B$930:$B$959
B1812,$B$1050:$B$1079
B1813,$B$1170:$B$1199
B1814,$B$1290:$B$1319
B1815,$B$1410:$B$1439
B1816,$B$1530:$B$1559
B1817,$B$1650:$B$1679
B1818,$B$1770:$B$1799
C1804,$C$90:$C$119
C1805,$C$210:$C$239
C1806,$C$330:$C$359
C1807,$C$450:$C$479
C1808,$C$570:$C$599
C1809,$C$690:$C$719
C1810,$C$810:$C$839
C1811,$C$930:$C$959
C1812,$C$1050:$C$1079
C1813,$C$1170:$C$1199
C1814,$C$1290:$C$1319
C1815,$C$1410:$C$1439
C1816,$C$1530:$C$1559
C1817,$C$1650:$C$1679
C1818,$C$1770:$C$1799
D1804,$D$90:$D$119
D1805,$D$210:$D$239
D1806,$D$330:$D$359
D1807,$D$450:$D$479
D1808,$D$570:$D$599
D1809,$D$690:$D$719
D1810,$D$810:$D$839
D1811,$D$930:$D$959
D1812,$D$1050:$D$1079
D1813,$D$1170:$D$1199
D1814,$D$1290:$D$1319
D1815,$D$1410:$D$1439
D1816,$D$1530:$D$1559
D1817,$D$1650:$D$1679
D1818,$D$1770:$D$1799
E1804,$E$90:$E$119
E1805,$E$210:$E$239
E1806,$E$330:$E$359
E1807,$E$450:$E$479
E1808,$E$570:$E$599
E1809,$E$690:$E$719
E1810,$E$810:$E$839
E1811,$E$930:$E$959
E1812,$E$1050:$E$1079
E1813,$E$1170:$E$1199
E1814,$E$1290:$E$1319
E1815,$E$1410:$E$1439
E1816,$E$1530:$E$1559
E1817,$E$1650:$E$1679
E1818,$E$1770:$E$1799
F1804,$F$90:$F$119
F1805,$F$210:$F$239
F1806,$F$330:$F$359
F1807,$F$450:$F$479
F1808,$F$570:$F$599
F1809,$F$690:$F$719
F1810,$F$810:$F$839
F1811,$F$930:$F$959
F1812,$F$1050:$F$1079
F1813,$F$1170:$F$1199
F1814,$F$1290:$F$1319
F1815,$F$1410:$F$1439
F1816,$F$1530:$F$1559
F1817,$F$1650:$F$1679
F1818,$F$1770:$F$1799
G1804,$G$90:$G$119
G1805,$G$210:$G$239
G1806,$G$330:$G$359
G1807,$G$450:$G$479
G1808,$G$570:$G$599
G1809,$G$690:$G$719
G1810,$G$810:$G$839
G1811,$G$930:$G$959
G1812,$G$1050:$G$1079
G1813,$G$1170:$G$1199
G1814,$G$1290:$G$1319
G1815,$G$1410:$G$1439
G1816,$G$1530:$G$1559
G1817,$G$1650:$G$1679
G1818,$G$1770:$G$1799
H1804,$H$90:$H$119
H1805,$H$210:$H$239
H1806,$H$330:$H$359
H1807,$H$450:$H$479
H1808,$H$570:$H$599
H1809,$H$690:$H$719
H1810,$H$810:$H$839
H1811,$H$930:$H$959
H1812,$H$1050:$H$1079
H1813,$H$1170:$H$1199
H1814,$H$1290:$H$1319
H1815,$H$1410:$H$1439
H1816,$H$1530:$H$1559
H1817,$H$1650:$H$1679
H1818,$H$1770:$H$1799
I1804,$I$90:$I$119
I1805,$I$210:$I$239
I1806,$I$330:$I$359
I1807,$I$450:$I$479
I1808,$I$570:$I$599
I1809,$I$690:$I$719
I1810,$I$810:$I$839
I1811,$I$930:$I$959
I1812,$I$1050:$I$1079
I1813,$I$1170:$I$1199
I1814,$I$1290:$I$1319
I1815,$I$1410:$I$1439
I1816,$I$1530:$I$1559
I1817,$I$1650:$I$1679
I1818,$I$1770:$I$1799
J1804,$J$90:$J$119
J1805,$J$210:$J$239
J1806,$J$330:$J$359
J1807,$J$450:$J$479
J1808,$J$570:$J$599
J1809,$J$690:$J$719
J1810,$J$810:$J$839
J1811,$J$930:$J$959
J1812,$J$1050:$J$1079
J1813,$J$1170:$J$1199
J1814,$J$1290:$J$1319
J1815,$J$1410:$J$1439
J1816,$J$1530:$J$1559
J1817,$J$1650:$J$1679
J1818,$J$1770:$J$1799
K1804,$K$90:$K$119
K1805,$K$210:$K$239
K1806,$K$330:$K$359
K1807,$K$450:$K$479
K1808,$K$570:$K$599
K1809,$K$690:$K$719
K1810,$K$810:$K$839
K1811,$K$930:$K$959
K1812,$K$1050:$K$1079
K1813,$K$1170:$K$1199
K1814,$K$1290:$K$1319
K1815,$K$1410:$K$1439
K1816,$K$1530:$K$1559
