Time(Sec),Cell Voltage(V),Current Density(A/§²),Cell Current(A),Cell Power(W),Bottle Temp(Deg C),Bottle Water Temp(Deg C),Anode Inlet Temp(Deg C),Cell Temp(Deg C),Anode Outlet Temp(Deg C),Cathode Outlet Temp(Deg C),Anode Vent Temp(Deg C),Cathode Vent Temp(Deg C),Cathode N2 MFC Flow(SCCM),Anode N2 MFC Flow(SCCM),Spare,Anode O2 MFM Flow(SCCM),Cathode H2 MFM Flow(SCCM),Anode Vent Pressure(kpa),Anode Bottle Pressure(kpa),Anode Inlet Pressure(kpa),Anode Outlet Pressure(kpa),Cathode Outlet Pressure(kpa),Cathode Vent Pressure(kpa),Anode Dewpoint(Deg C),Cathode Dewpoint(Deg C),Anode H2 Sensor(%),Cathode O2 Sensor(%),Water Conductivity(G),Liquide Flow(ccm),Anode Outlet Pressure 2(kpa),Cathode Outlet Pressure 2(kpa),H2 Sensor -1(ppm),H2 Sensor -2(ppm),Cycle,Volt Jump Cycle
41374,0.033,0.1,8.268,0.273,59.1,64.4,66.7,29.8,62.5,32.5,35.5,30.3,0,0,-1.145,9.561,4.467,3.367,8.268,20.718,0,0,0,-39.66,-40.618,1.558,0.664,0.415,299.87,16.471,11.394,0.342,5.532,0,0
41375,1.563,0.1,8.256,12.815,59.1,64.4,66.7,29.8,62.5,32.5,35.5,30.3,0,0,-1.075,10.101,4.501,3.82,6.285,19.525,0,0,0,-39.661,-40.628,1.558,0.666,0.407,300.825,18.078,12.803,0.557,5.438,0,0
41376,1.567,0.1,8.262,12.947,59.1,64.4,66.7,29.8,62.5,32.5,35.5,30.3,0,0,-1.133,12.015,5.294,3.532,8.49,21.94,0,0,0,-39.652,-40.623,1.558,0.666,0.415,301.444,17.133,12.123,0.431,5.471,0,0
41377,1.568,0.1,8.262,12.955,59.2,64.4,66.7,29.9,62.5,32.5,35.5,30.3,0,0,-1.185,12.784,13.148,3.636,6.907,20.515,0,0,0,-39.662,-40.634,1.557,0.666,0.408,297.889,17.408,12.391,1.5,5.279,0,0
41378,1.569,0.1,8.262,12.972,59.2,64.4,66.7,29.9,62.5,32.5,35.5,30.3,0,0,-1.101,12.182,18.089,3.747,8.399,21.089,0,0,0,-39.661,-40.627,1.557,0.667,0.411,299.837,16.662,13.831,-0.135,5.611,0,0
41379,1.569,0.1,8.274,12.982,59.2,64.4,66.7,29.9,62.5,32.5,35.5,30.3,0,0,-1.129,13.296,23.074,3.399,6.718,20.503,0,0,0,-39.658,-40.627,1.557,0.668,0.413,298.44,16.779,11.497,0.804,5.518,0,0
41380,1.569,0.1,8.262,12.954,59.2,64.4,66.7,29.9,62.5,32.5,35.5,30.3,0,0,-1.112,13.9,27.215,3.792,7.471,19.008,0,0,0,-39.659,-40.626,1.557,0.668,0.405,301.332,17.989,13.707,0.681,5.523,0,0
41381,1.569,0.1,8.256,12.971,59.2,64.4,66.7,29.9,62.5,32.5,35.4,30.3,0,0,-1.217,16.202,29.42,3.664,8.945,20.673,0,0,0,-39.656,-40.617,1.557,0.667,0.404,300.935,15.739,13.02,0.055,5.555,0,0
41382,1.57,0.1,8.268,12.981,59.2,64.4,66.7,29.9,62.5,32.5,35.4,30.3,0,0,-1.175,14.308,32.479,3.696,6.333,20.4,0,0,0,-39.667,-40.629,1.557,0.667,0.394,299.778,16.671,11.827,1.246,5.458,0,0
41383,1.57,0.1,8.262,12.99,59.2,64.4,66.7,29.9,62.5,32.5,35.4,30.3,0,0,-1.173,14.967,35.328,3.779,7.443,19.958,0,0,0,-39.659,-40.616,1.557,0.667,0.4,297.635,17.411,11.944,-0.226,5.452,0,0
41384,1.57,0.1,8.256,12.981,59.3,64.4,66.7,29.8,62.4,32.5,35.4,30.3,0,0,-1.136,12.073,38.345,3.804,6.271,20.828,0,0,0,-39.665,-40.625,1.557,0.665,0.4,299.665,16.435,11.796,1.076,5.412,0,0
41385,1.57,0.1,8.268,12.981,59.3,64.4,66.7,29.8,62.4,32.5,35.4,30.3,0,0,-1.154,13.884,39.285,3.869,6.295,19.537,0,0,0,-39.662,-40.632,1.557,0.666,0.398,299.933,17.497,13.011,0.337,5.452,0,0
